"id","date","category","amount","description"
11,"2026-05-05","SOCIAL",230.00,"RETA Social Security April"
12,"2026-05-10","ADS",75.00,"Instagram Ads - April Promo"
13,"2026-05-15","GAS",50.00,"Gas to Tarifa Beach"
14,"2026-05-20","INSURANCE",30.00,"Professional Liability Insurance (Monthly)"
15,"2026-06-05","SOCIAL",230.00,"RETA Social Security June"
16,"2026-06-10","ADS",75.00,"Instagram Ads - April Promo"
17,"2026-06-15","GAS",60.00,"Gas to Tarifa Beach"
18,"2026-06-20","INSURANCE",30.00,"Professional Liability Insurance (Monthly)"
19,"2026-06-04","MAT",313.30,"10 new Yoga mats"
20,"2026-07-05","SOCIAL",230.00,"RETA Social Security June"
21,"2026-07-10","ADS",75.00,"Instagram Ads - April Promo"
22,"2026-07-15","GAS",60.00,"Gas to Tarifa Beach"
23,"2026-07-20","INSURANCE",30.00,"Professional Liability Insurance (Monthly)"
1,"2026-03-03","MAT",621.00,"20 yoga mats"
2,"2026-03-05","SOCIAL",230.00,"RETA Social Security March"
3,"2026-03-10","ADS",45.00,"Instagram Ads - Spring Promo"
4,"2026-03-15","GAS",30.00,"Gas to Tarifa Beach"
5,"2026-03-20","INSURANCE",85.00,"Professional Liability Insurance (Quarterly)"
6,"2026-03-18","ADS",100.00,"Flyers"
7,"2026-04-05","SOCIAL",230.00,"RETA Social Security April"
8,"2026-04-10","ADS",45.00,"Instagram Ads - April Promo"
9,"2026-04-15","GAS",30.00,"Gas to Tarifa Beach"
10,"2026-04-20","INSURANCE",30.00,"Professional Liability Insurance (Monthly)"
