"id","first_name","last_name","bio"
1,"Jhumpa","Lahiri",NULL
2,"Neil","Gaiman",NULL
3,"Dave","Eggers",NULL
4,"Michael","Chabon",NULL
5,"Patti","Smith",NULL
6,"Raymond","Carver",NULL
7,"Don","DeLillo",NULL
8,"John","Steinbeck",NULL
9,"David","Foster Wallace",NULL
10,"Toshikazu","Kawaguchi",NULL
11,"DK","Travel",NULL
12,"Toby","Neal",NULL
13,"Naomi","Klein",NULL
14,"Osamu","Dazai",NULL
15,"Stephanie","Land",NULL
16,"Monica","Ali",NULL
17,"Rolf","Potts",NULL
18,"Walter","Travis",NULL
19,"Nick","Hornby",NULL
20,"Sue","Monk Kidd",NULL
21,"Nanoko","Hanada",NULL
22,"Sally","Rooney",NULL
23,"Siri","Hustvedt",NULL
24,"Sayaka","Murata",NULL
25,"Alan","Watts",NULL
26,"Zz","Packer",NULL
27,"Claire","Keegan",NULL
28,"Illaria","Bernardini",NULL
29,"Musa","Okwonga",NULL
30,"Hannah","Fry",NULL
31,"Gabrielle","Zevin",NULL
32,"Dan","Harris",NULL
33,"Freida","Harris",NULL
34,"Emily","Henry",NULL
35,"Lauren","Graham",NULL
36,"Kevin","Kwan",NULL
37,"Pamela","Redmond Satran",NULL
38,"George","Saunders",NULL
39,"Tori","Eldridge",NULL
40,"Jacinda","Ardern",NULL
41,"Elizabeth","Gilbert",NULL
43,"Liz","Pelly",NULL
44,"Hector","Garcia",NULL
45,"Cher","Cher",NULL
46,"Barbara","Streisand",NULL
47,"Yamada","Koun",NULL
48,"Diane","Cardwell",NULL
49,"Lucy","Clarke",NULL
50,"William","Finnegan",NULL
51,"Fumio","Sasaki",NULL
52,"David","Szalay",NULL
53,"Rebecca","Makkai",NULL
54,"Johny","David",NULL
55,"Joseph","Cox",NULL
56,"Steve","Wozniak",NULL
57,"Andy","Greenberg",NULL
58,"Abdulrazak","Gurnah",NULL
59,"Yvon","Chouinard",NULL
60,"Michael","Lewis",NULL
61,"Jordan","Ellenberg",NULL
62,"Cheryl","Strayed",NULL
63,"Satoshi","Yagisawa",NULL
64,"Benjamin","Markovits",NULL
65,"Emi","Yagi",NULL
66,"Sanaka","Hiiragi",NULL
67,"Hiromi","Kawakami",NULL
68,"Hu","AnYan",NULL
69,"Yoko","Ogawa",NULL
70,"Natsume","Soseki",NULL
71,"Haruki","Murakami",NULL
72,"Atsuhiro","Yoshido",NULL
73,"Banana","Yoshimoto",NULL
74,"Yuko","Tsushima",NULL
75,"Durian","Sukegawa",NULL
76,"Mieko","Kawakami",NULL
77,"Takashi","Hiraide",NULL
78,"Megha","Majumdar",NULL
79,"Lily","King",NULL
80,"Katie","Kitamura",NULL
81,"Hisashi","Kashiwai",NULL
82,"Jungeun","Yun",NULL
83,"Her","Taeyeon",NULL
84,"Mizuki","Tsujimura",NULL
85,"Zadie","Smith",NULL
86,"Kiran","Desai",NULL
87,"Brian","Goldstone",NULL
88,"Christina","Applegate",NULL
89,"Samanth","Subramanian",NULL
90,"Karen","Hao",NULL
91,"Sei","Shoagon",NULL
92,"Aysegül","Savas",NULL
93,"Lois P.","Frankel",NULL
94,"Jake","Adelstein",NULL
95,"various","authors",NULL
96,"Jack","Kerouac",NULL
97,"Geoff","Dyer",NULL
98,"Tessa","Hadley",NULL
99,"David","McRaney",NULL
100,"Ichiro","Kishimi",NULL
101,"Tommy","Orange",NULL
102,"Harper","Lee",NULL
103,"Sarah","Bakewell",NULL
104,"James","McBride",NULL
105,"Philip","Pullman",NULL
106,"Darius","Foroux",NULL
107,"Perry","Klebahn",NULL
108,"Amy","Poeppel",NULL
109,"Mark","Bergen",NULL
110,"Grace","Coddington",NULL
111,"Sarah","Thornton",NULL
112,"Howard Scott","Warshaw",NULL
113,"Tsitsi","Dangarembga",NULL
114,"Matthew","Perry",NULL
115,"Alan","Rickman",NULL
116,"Britney","Spears",NULL
117,"Felipe","Furentes Cruz",NULL
118,"Stieg","Larsson",NULL
119,"Phoebe","Waller-Bridge",NULL
120,"Alex","Garland",NULL
121,"Bill","Bryson",NULL
122,"Alex","Kerr",NULL
123,"Nick","Bradley",NULL
124,"Tom","Feiling",NULL
125,"Pallavi","Aiyar",NULL
126,"Michael","Pronko",NULL
127,"Malcolm","Harris",NULL
128,"Beth","Kempton",NULL
129,"Emma","Cline",NULL
130,"Taylor","Jenkins Reid",NULL
131,"Emma","Mclaughlin",NULL
132,"Steven","Levy",NULL
133,"Jonathan","Rosenberg",NULL
134,"Scott","Galloway",NULL
135,"Ashley","Elston",NULL
136,"Jasmin","Iolani Hakes",NULL
137,"Matt","Haig",NULL
138,"Blake J.","Harris",NULL
139,"Emily","Nagoski",NULL
140,"David","Davis",NULL
141,"Shelby","Van Pelt",NULL
142,"Curtis","Sittenfeld",NULL
143,"Suzanne","Collins",NULL
144,"Claire L.","Evans",NULL
145,"Amy","Tan",NULL
146,"Chris","Miller",NULL
147,"Brian","Mccullough",NULL
148,"Lori","Gottlieb",NULL
149,"Walter","Isaacson",NULL
150,"Damon","Galgut",NULL
151,"Trevor","Noah",NULL
152,"Barack","Obama",NULL
153,"B. K. S.","Iyengar",NULL
154,"Sally","Thorne",NULL
155,"Jimmy","Soni",NULL
156,"Mike","Isaac",NULL
157,"Valeria","Luiselli",NULL
158,"Yosha","Gunasekera",NULL
159,"Stephen","Chbosky",NULL
160,"Madeline","Miller",NULL
161,"Megan","Lally",NULL
162,"Abby","Jimenez",NULL
163,"Sally","Hepworth",NULL
164,"John","Green",NULL
165,"Agatha","Christie",NULL
166,"Andy","Clark",NULL
167,"Gilbert","Adair",NULL
168,"Steve","Estes",NULL
169,"Steve","McGinnes",NULL
170,"Angie","Kim",NULL
171,"Delia","Owens",NULL
172,"various","Various",NULL
173,"Lonely","Planet",NULL
174,"Bonnie","Tsui",NULL
175,"Becca","Mann",NULL
